1 0	117179
1 1	117240
1 2	117054
1 3	117238
1 4	117277
1 5	117354
1 6	117363
1 7	117273
1 8	117410
1 9	117095
1 10	116807
1 11	117265
1 12	117764
1 13	116921
1 14	117639
1 15	117063
1 16	117177
1 17	116889
1 18	117127
1 19	117239
1 20	117158
1 21	117004
1 22	117231
1 23	117468
1 24	116942
1 25	117327
1 26	117051
1 27	116808
1 28	116746
1 29	116757
1 30	117139
1 31	117432
1 32	117401
1 33	116909
1 34	117180
1 35	117197
1 36	116868
1 37	116973
1 38	117138
1 39	117023
1 40	117286
1 41	117229
1 42	116944
1 43	117251
1 44	117391
1 45	117035
1 46	117237
1 47	117424
1 48	117201
1 49	116777
1 50	116929
1 51	117233
1 52	117019
1 53	117260
1 54	117090
1 55	117074
1 56	117283
1 57	117100
1 58	117414
1 59	117435
1 60	116963
1 61	117142
1 62	116992
1 63	117436
1 64	117423
1 65	117294
1 66	117127
1 67	117268
1 68	116746
1 69	117276
1 70	117488
1 71	117451
1 72	117425
1 73	117365
1 74	117352
1 75	117205
1 76	117562
1 77	117274
1 78	117651
1 79	117387
1 80	117301
1 81	116588
1 82	117303
1 83	117566
1 84	116972
1 85	116878
1 86	116746
1 87	117166
1 88	117006
1 89	117068
1 90	117045
1 91	117128
1 92	117119
1 93	117477
1 94	116868
1 95	117131
1 96	117368
1 97	117560
1 98	117358
1 99	117295
1 100	117652
1 101	117229
1 102	117316
1 103	117354
1 104	117326
1 105	117118
1 106	117271
1 107	117576
1 108	117732
1 109	117451
1 110	117409
1 111	117511
1 112	116978
1 113	116828
1 114	117221
1 115	117596
1 116	117463
1 117	116766
1 118	117437
1 119	117480
1 120	117425
1 121	117063
1 122	117166
1 123	116936
1 124	117136
1 125	117052
1 126	117121
1 127	116977
1 128	117316
1 129	117598
1 130	117310
1 131	117340
1 132	117311
1 133	117666
1 134	117089
1 135	116998
1 136	116868
1 137	116855
1 138	116725
1 139	117491
1 140	116830
1 141	116630
1 142	117233
1 143	117554
1 144	117338
1 145	117112
1 146	116948
1 147	116862
1 148	116564
1 149	116803
1 150	117179
1 151	117351
1 152	117163
1 153	116916
1 154	117052
1 155	117359
1 156	116983
1 157	117073
1 158	116998
1 159	117071
1 160	117060
1 161	116990
1 162	117424
1 163	116976
1 164	117300
1 165	117333
1 166	117179
1 167	117436
1 168	117258
1 169	117185
1 170	117531
1 171	117471
1 172	117395
1 173	116789
1 174	117185
1 175	117581
1 176	117066
1 177	116854
1 178	116764
1 179	117055
1 180	116967
1 181	117429
1 182	117039
1 183	116969
1 184	117041
1 185	117016
1 186	116728
1 187	117001
1 188	117319
1 189	117094
1 190	117311
1 191	116966
1 192	116842
1 193	117032
1 194	117458
1 195	117292
1 196	117515
1 197	116923
1 198	116941
1 199	117465
1 200	117160
1 201	117423
1 202	117260
1 203	117186
1 204	117188
1 205	117030
1 206	117311
1 207	117540
1 208	116877
1 209	116924
1 210	117033
1 211	117387
1 212	116949
1 213	117015
1 214	117376
1 215	117029
1 216	117177
1 217	117367
1 218	117418
1 219	117107
1 220	117356
1 221	117039
1 222	117162
1 223	117447
1 224	117087
1 225	117027
1 226	117299
1 227	117638
1 228	117467
1 229	117662
1 230	117429
1 231	117043
1 232	117541
1 233	116951
1 234	117325
1 235	117389
1 236	117265
1 237	117189
1 238	117270
1 239	117590
1 240	117280
1 241	117258
1 242	116772
1 243	117632
1 244	116702
1 245	116907
1 246	117673
1 247	117157
1 248	116975
1 249	117155
1 250	117114
1 251	117000
1 252	117181
1 253	117243
1 254	117057
1 255	117097
2 0	117148
2 1	116742
2 2	117084
2 3	117468
2 4	116922
2 5	117084
2 6	117331
2 7	117633
2 8	117429
2 9	117538
2 10	117473
2 11	117151
2 12	117545
2 13	117185
2 14	117292
2 15	116833
2 16	117174
2 17	116987
2 18	117292
2 19	117191
2 20	117319
2 21	117012
2 22	117406
2 23	117282
2 24	117222
2 25	117480
2 26	117299
2 27	117101
2 28	117349
2 29	117225
2 30	117572
2 31	117302
2 32	117097
2 33	117556
2 34	117221
2 35	117191
2 36	116977
2 37	117501
2 38	117154
2 39	117141
2 40	116890
2 41	117023
2 42	117249
2 43	117115
2 44	117501
2 45	117148
2 46	117110
2 47	117390
2 48	117549
2 49	117117
2 50	117882
2 51	116666
2 52	116893
2 53	117322
2 54	117263
2 55	116571
2 56	116998
2 57	117086
2 58	117257
2 59	117010
2 60	117473
2 61	117830
2 62	117151
2 63	116976
2 64	117125
2 65	117557
2 66	116958
2 67	117370
2 68	117066
2 69	117196
2 70	117185
2 71	116887
2 72	116952
2 73	117590
2 74	117304
2 75	117173
2 76	117112
2 77	116914
2 78	117228
2 79	117113
2 80	117447
2 81	116755
2 82	117069
2 83	117113
2 84	117288
2 85	117546
2 86	117144
2 87	117646
2 88	117069
2 89	117018
2 90	117070
2 91	117083
2 92	116871
2 93	116841
2 94	116784
2 95	117502
2 96	117450
2 97	117511
2 98	116908
2 99	117353
2 100	117158
2 101	117520
2 102	117226
2 103	117526
2 104	117013
2 105	116995
2 106	117131
2 107	117237
2 108	117762
2 109	117387
2 110	117217
2 111	117288
2 112	116738
2 113	117384
2 114	117324
2 115	117025
2 116	116937
2 117	117567
2 118	117200
2 119	117056
2 120	117047
2 121	117200
2 122	117136
2 123	117337
2 124	117415
2 125	117219
2 126	117319
2 127	117284
2 128	117128
2 129	116891
2 130	117357
2 131	117244
2 132	117178
2 133	117131
2 134	117136
2 135	117556
2 136	117393
2 137	117291
2 138	117108
2 139	116930
2 140	117113
2 141	117237
2 142	116762
2 143	116994
2 144	117962
2 145	117034
2 146	117286
2 147	116943
2 148	116659
2 149	117116
2 150	117343
2 151	117079
2 152	117296
2 153	116909
2 154	117240
2 155	116762
2 156	117235
2 157	116932
2 158	117373
2 159	116992
2 160	116907
2 161	117157
2 162	117628
2 163	117328
2 164	117533
2 165	117178
2 166	117229
2 167	117350
2 168	117320
2 169	116852
2 170	117174
2 171	116769
2 172	116957
2 173	117288
2 174	117255
2 175	117576
2 176	116766
2 177	117166
2 178	117003
2 179	117611
2 180	117346
2 181	117093
2 182	117312
2 183	116747
2 184	117336
2 185	117551
2 186	117282
2 187	117415
2 188	117439
2 189	116922
2 190	117302
2 191	117286
2 192	117406
2 193	117201
2 194	116961
2 195	116798
2 196	116905
2 197	117413
2 198	117301
2 199	117223
2 200	117283
2 201	117797
2 202	117172
2 203	117087
2 204	117579
2 205	117686
2 206	116970
2 207	117481
2 208	116964
2 209	117228
2 210	117103
2 211	117121
2 212	116736
2 213	117289
2 214	117146
2 215	117360
2 216	117469
2 217	117156
2 218	117064
2 219	116901
2 220	117187
2 221	117272
2 222	117115
2 223	116807
2 224	117264
2 225	116893
2 226	116964
